zip	state	mean_income	median_income	population
01001	MA	56663	66688	16445
01002	MA	49853	75063	28069
01003	MA	28462	35121	8491
01005	MA	75423	82442	4798
01007	MA	79076	85802	12962
01008	MA	63980	78391	1244
01009	MA	51452	66737	889
01010	MA	75625	80919	3340
01011	MA	63476	77443	1323
01012	MA	58750	74722	677
01013	MA	36578	46179	22907
01020	MA	50058	58516	29626
01022	MA	50440	60797	2124
01026	MA	60320	71505	1052
01027	MA	58573	66613	17452
01028	MA	80252	94891	14143
01029	MA	62955	97075	663
01030	MA	71106	81727	11702
01031	MA	61250	76417	1192
01032	MA	67692	79796	498
01034	MA	63980	78391	1910
01035	MA	69911	73973	4801
01036	MA	78869	95493	5089
01037	MA	61250	76417	627
01038	MA	53939	72430	2557
01039	MA	66284	78497	1291
01040	MA	35549	43615	39827
01050	MA	62097	70566	2380
01053	MA	60477	77611	1720
01054	MA	67831	86678	1656
01056	MA	63318	72027	21205
01057	MA	73254	78485	8474
01060	MA	48069	67478	15578
01062	MA	60686	82398	11283
01063	MA	40694	32047	393
01066	MA	53939	72430	71
01068	MA	77396	81314	1651
01069	MA	50345	65297	8789
01070	MA	60320	71505	573
01071	MA	63980	78391	1518
01072	MA	67831	86678	1503
01073	MA	80738	94452	5366
01074	MA	75423	82442	315
01075	MA	63053	76027	17179
01077	MA	73645	81585	8842
01079	MA	51452	66737	625
01080	MA	50100	59535	2208
01081	MA	65917	76367	1581
01082	MA	51936	60093	10125
01083	MA	55030	70156	2887
01084	MA	58750	74722	158
01085	MA	57598	68897	40392
01086	MA	93611	83650	323
01088	MA	53939	72430	622
01089	MA	53711	64226	27894
01092	MA	55030	70156	1215
01093	MA	59722	72440	340
01094	MA	61250	76417	340
01095	MA	89486	101878	13572
01096	MA	66148	78920	2143
01097	MA	63980	78391	113
01098	MA	60320	71505	1212
01103	MA	16963	25747	2731
01104	MA	35380	43969	22078
01105	MA	17756	27144	12816
01106	MA	91889	134662	15880
01107	MA	23557	33974	11615
01108	MA	37411	48866	26060
01109	MA	34638	44049	30683
01118	MA	55853	62546	14283
01119	MA	45184	52187	13170
01128	MA	63177	66605	3040
01129	MA	58704	66403	6982
01151	MA	34175	50951	8302
01199	MA	48306	58759	14
01201	MA	46765	57694	43838
01220	MA	38379	50308	8947
01222	MA	47145	68665	821
01223	MA	48478	71204	2287
01224	MA	66458	82491	197
01225	MA	57419	75267	3264
01226	MA	57505	70710	7099
01229	MA	55096	70740	129
01230	MA	53584	73996	8654
01235	MA	63877	73062	2597
01236	MA	55718	74247	1656
01237	MA	69659	87759	2426
01238	MA	51053	64187	6110
01240	MA	60458	74117	4787
01242	MA	60604	74264	254
01243	MA	60320	71505	360
01244	MA	57917	73592	136
01245	MA	63152	90383	989
01247	MA	38405	48295	16957
01253	MA	62955	97075	607
01254	MA	79145	103371	1070
01255	MA	62955	97075	824
01256	MA	54167	59862	701
01257	MA	47145	68665	2223
01258	MA	55764	80635	401
01259	MA	57917	73592	640
01260	MA	53297	67749	225
01262	MA	55096	70740	1357
01264	MA	63250	89918	160
01266	MA	64328	79025	1681
01267	MA	69925	104709	8683
01270	MA	70662	76919	761
01301	MA	47833	54338	18444
01330	MA	70326	81554	1512
01331	MA	49110	59949	12856
01337	MA	57550	68074	2649
01338	MA	56596	67203	184
01339	MA	6531	7755	181
01341	MA	70326	81554	1743
01342	MA	61912	77805	1140
01343	MA	54167	59862	73
01344	MA	54836	62158	1216
01347	MA	50189	64302	214
01349	MA	51401	63743	1116
01351	MA	50189	64302	2301
01354	MA	57550	68074	1367
01355	MA	67831	86678	820
01360	MA	70606	75984	2952
01364	MA	44676	51820	7633
